relative_us,key,report_id,sensor_value,travel_units,firmware_mm,calibration_status,payload_hex
734848,A,0,268,148,1.48,255,a0 10 00 04 01 0c 00 94 09 ff ff 00 06 09 01 55 29 ea 0b 30 00 2a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1425996,A,0,345,174,1.74,255,a0 10 00 04 01 59 00 ae 04 01 ff 00 06 09 01 55 29 1c 0b 30 00 2a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1442990,A,0,471,208,2.08,255,a0 10 00 04 01 d7 00 d0 08 01 ff 00 06 09 01 55 27 c6 0b 30 00 2a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1457993,A,0,641,244,2.44,255,a0 10 00 04 02 81 00 f4 04 01 ff 00 06 09 01 55 25 fb 0b 30 00 34 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1472991,A,0,803,272,2.72,255,a0 10 00 04 03 23 01 10 02 01 ff 00 06 09 01 55 24 44 0b 30 00 35 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1486994,A,0,883,282,2.82,255,a0 10 00 04 03 73 01 1a 02 01 ff 00 06 09 01 55 23 6c 0b 30 00 35 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1499983,A,0,897,284,2.84,255,a0 10 00 04 03 81 01 1c 04 01 ff 00 06 09 01 55 23 47 0b 30 00 35 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1544854,A,0,898,286,2.86,255,a0 10 00 04 03 82 01 1e 06 01 ff 00 06 09 01 55 23 45 0b 30 00 35 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1724866,A,0,859,280,2.80,255,a0 10 00 04 03 5b 01 18 06 ff ff 00 06 09 01 55 23 ae 0b 30 00 35 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1891987,A,0,1006,299,2.99,255,a0 10 00 04 03 ee 01 2b 08 01 ff 00 06 09 01 55 22 20 0b 30 00 36 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1907987,A,0,1195,315,3.15,255,a0 10 00 04 04 ab 01 3b 04 01 ff 00 06 09 01 55 20 21 0b 30 00 36 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1920987,A,0,1246,319,3.19,255,a0 10 00 04 04 de 01 3f 08 01 ff 00 06 09 01 55 1f 98 0b 30 00 36 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1934991,A,0,1261,321,3.21,255,a0 10 00 04 04 ed 01 41 00 01 ff 00 06 09 01 55 1f 6f 0b 30 00 36 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2162010,A,0,1352,329,3.29,255,a0 10 00 04 05 48 01 49 08 01 ff 00 06 09 01 55 1e 79 0b 30 00 36 00 12 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2178007,A,0,1576,341,3.41,255,a0 10 00 04 06 28 01 55 00 01 ff 00 06 09 01 55 1c 1b 0b 30 00 3e 00 13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
4352016,A,0,1367,330,3.30,255,a0 10 00 04 05 57 01 4a 0b ff ff 00 06 09 01 55 1e a1 0b 30 00 46 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
4394018,A,0,935,301,3.01,255,a0 10 00 04 03 a7 01 2d 1d ff ff 00 06 09 01 55 24 9c 0b 30 00 46 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
4424012,A,0,606,272,2.72,255,a0 10 00 04 02 5e 01 10 1d ff ff 00 06 09 01 55 27 43 0b 30 00 46 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
4454029,A,0,467,243,2.43,255,a0 10 00 04 01 d3 00 f3 1d ff ff 00 06 09 01 55 28 03 0b 30 00 46 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
4485021,A,0,447,214,2.14,255,a0 10 00 04 01 bf 00 d6 1d ff ff 00 06 09 01 55 28 07 0b 30 00 46 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
4515017,A,0,446,203,2.03,255,a0 10 00 04 01 be 00 cb 0b ff ff 00 06 09 01 55 28 0f 0b 30 00 46 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
4544020,A,0,321,174,1.74,255,a0 10 00 04 01 41 00 ae 1d ff ff 00 06 09 01 55 29 90 0b 30 00 46 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
4574018,A,0,94,145,1.45,255,a0 10 00 04 00 5e 00 91 1d ff ff 00 06 09 01 55 2b ec 0b 30 00 46 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
4604016,A,0,0,0,0.00,255,a0 10 00 04 00 00 00 00 dd ff ff 00 06 09 01 55 2c d3 0b 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5700028,A,0,17,16,0.16,255,a0 10 00 04 00 11 00 10 2a 01 ff 00 06 09 01 55 2c 93 0b 30 00 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5715027,A,0,42,35,0.35,255,a0 10 00 04 00 2a 00 23 17 01 ff 00 06 09 01 55 2c 4f 0b 30 00 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5732033,A,0,130,88,0.88,255,a0 10 00 04 00 82 00 58 0a 01 ff 00 06 09 01 55 2b 60 0b 30 00 29 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5748033,A,0,328,170,1.70,255,a0 10 00 04 01 48 00 aa 02 01 ff 00 06 09 01 55 29 4a 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
